id,category,kanji,reading,english,burmese
1,"Steel Structure","鉄骨構造","てっこつこうぞう","Steel Structure","သံမဏိ တည်ဆောက်ပုံ"
2,"Steel Structure","構造","こうぞう","Structure; Framing","တည်ဆောက်ပုံ"
3,"Steel Structure","材料","ざいりょう","Material","ကုန်ကြမ်းပစ္စည်း"
4,"Steel Structure","鋼材","こうざい","Steel Material","သံမဏိပစ္စည်း"
5,"Steel Structure","部材","ぶざい","Structural Member","တည်ဆောက်ပုံ အစိတ်အပိုင်း"
6,"Steel Structure","断面","だんめん","Cross-section","ဖြတ်ပိုင်းပုံ"
7,"Steel Structure","荷重","かじゅう","Load","ဝန်အား"
8,"Steel Structure","水平荷重","すいへいかじゅう","Horizontal Load","အလျားလိုက် ဝန်အား"
9,"Steel Structure","自重","じじゅう","Dead Load (Self-weight)","ကိုယ်ပိုင်အလေးချိန်"
10,"Steel Structure","比重","ひじゅう","Specific Gravity","သိပ်သည်းဆ အချိုး"
11,"Steel Structure","ラーメン骨組","ラーメンほねぐみ","Rigid Frame / Portal Frame","ရစ်ဂျစ်ဘောင်"
12,"Steel Structure","トラス梁","トラスばり","Truss Beam","Truss Beam"
13,"Steel Structure","ブレース構造","ブレースこうぞう","Brace Structure","Brace တည်ဆောက်ပုံ"
14,"Steel Structure","斜材","しゃざい","Diagonal Member / Brace","ထောင့်ဖြတ်"
15,"Steel Structure","トラス構造","トラスこうぞう","Truss Structure","Truss တည်ဆောက်ပုံ"
16,"Steel Structure","免震構造","めんしんこうぞう","Seismic Isolation Structure","မြေငလျင်ဒဏ် ကာကွယ်ရေး တည်ဆောက်ပုံ"
17,"Steel Structure","制振構造","せいしんこうぞう","Vibration Damping Structure","တုန်ခါမှု ထိန်းချုပ်ရေး တည်ဆောက်ပုံ"
18,"Steel Structure","エネルギー吸収装置","エネルギーきゅうしゅうそうち","Energy Absorbing Device","စွမ်းအင် စုပ်ယူရေး ကိရိယာ"
19,"Steel Structure","反力","はんりょく","Reaction Force","ပြန်လှန်ဝန်အား"
20,"Steel Structure","鉛直反力","えんちょくはんりょく","Vertical Reaction Force","ဒေါင်လိုက် ပြန်လှန်ဝန်အား"
21,"Steel Structure","水平反力","すいへいはんりょく","Horizontal Reaction Force","အလျားလိုက် ပြန်လှန်ဝန်အား"
22,"Steel Structure","支点","してん","Support Point","အထောက်အပံ့ အမှတ်"
23,"Steel Structure","軸力","じくりょく","Axial Force","ဝင်ရိုးလိုက် ဝန်အား"
24,"Steel Structure","引張軸力","ひっぱりじくりょく","Tensile Axial Force","ဆွဲအား ဝင်ရိုးလိုက် ဝန်အား"
25,"Steel Structure","圧縮軸力","あっしゅくじくりょく","Compressive Axial Force","ဖိအား ဝင်ရိုးလိုက် ဝန်အား"
26,"Steel Structure","曲げモーメント","まげモーメント","Bending Moment","ကွေးညွှတ်အား (မိုမင့်)"
27,"Steel Structure","曲げ変形","まげへんけい","Bending Deformation","ကွေးညွှတ်၍ ပုံပျက်ခြင်း"
28,"Steel Structure","曲げ応力度","まげおうりょくど","Bending Stress","ကွေးညွှတ် ဖိအား"
29,"Steel Structure","許容応力度","きょようおうりょくど","Allowable Stress/Strength","ခွင့်ပြုထားသော ခံနိုင်ဝန်အား"
30,"Steel Structure","許容応力度設計法","きょようおうりょくどせっけいほう","Allowable Stress Design Method","ခွင့်ပြုဝန်အား ဒီဇိုင်းထုတ်နည်း"
31,"Steel Structure","弾性範囲","だんせいはんい","Elastic Range","ဆွဲဆန့်နိုင်သော ကန့်သတ်ချက်"
32,"Steel Structure","座屈","ざくつ","Buckling (Structural failure)","ကွေးထွက်ခြင်း (သို့) ဆုံလည်ခြင်း"
33,"Steel Structure","局部座屈","きょくぶざくつ","Local Buckling","အစိတ်အပိုင်းတခုတည်းတွင် ကွေးထွက်ခြင်း"
34,"Steel Structure","横座屈","よこざくつ","Lateral Buckling","ဘေးတိုက် ကွေးထွက်ခြင်း"
35,"Steel Structure","座屈耐力","ざくつたいりょく","Buckling Strength","ကွေးထွက်မှု ခံနိုင်ရည်အား"
36,"Steel Structure","細長比","ほそながひ","Slenderness Ratio","သွယ်လျမှု အချိုး"
37,"Steel Structure","板厚","いたあつ","Plate Thickness","သတ္တုပြား အထူ"
38,"Steel Structure","靭性","じんせい","Toughness; Ductility","ကြံ့ခိုင်မှု"
39,"Steel Structure","粘り強さ","ねばりづよさ","Tenacity; Ductility","စေးကပ်ခံနိုင်ရည်အား"
40,"Steel Structure","破損","はそん","Fracture; Breakage","ကျိုးပဲ့ ပျက်စီးခြင်း"
41,"Steel Structure","疲労","ひろう","Fatigue (Material)","အကြိမ်ရေများစွာ ထပ်ခါတလဲလဲ ဖိအား (Cyclic Loading) ကို ခံရပြီးနောက် ပျက်စီးခြင်း သို့မဟုတ် ကျိုးပဲ့ခြင်း"
42,"Steel Structure","疲労寿命","ひろうじゅみょう","Fatigue Life"," ခံနိုင်ရည်ကာလ"
43,"Steel Structure","繰り返し応力","くりかえしおうりょく","Repeated Stress / Cyclic Stress","ထပ်ခါတလဲလဲ ဖိအား"
44,"Steel Structure","溶接性","ようせつせい","Weldability","ဂဟေဆက်နိုင်စွမ်း"
45,"Steel Structure","残留応力","ざんりゅうおうりょく","Residual Stress","ကျန်ရှိနေသော ဖိအား"
46,"Steel Structure","溶接熱影響部","ようせつねつえいきょうぶ","Weld Heat Affected Zone (HAZ)","ဂဟေအပူဒဏ်ခံရသော ဧရိယာ"
47,"Steel Structure","降伏点","こうふくてん","Yield Point","ခံနိုင်ဝန်အဆုံးသတ်အမှတ်"
48,"Steel Structure","降伏比","こうふくひ","Yield Ratio","ခံနိုင်ဝန် အချိုး"
49,"Steel Structure","降伏ひずみ度","こうふくひずみど","Yield Strain","ခံနိုင်ဝန် ဆွဲဆန့်မှု ပမာဏ"
50,"Steel Structure","引張強さ","ひっぱりつよさ","Tensile Strength","ဆွဲအား ခံနိုင်ရည်"
51,"Steel Structure","伸び","のび","Elongation","ဆန့်ထွက်မှု"
52,"Steel Structure","絞り","しぼり","Reduction of Area","ဧရိယာ လျော့ကျမှု"
53,"Steel Structure","硬さ","かたさ","Hardness","မာကျောမှု"
54,"Steel Structure","衝撃力","しょうげきりょく","Impact Force","ရိုက်ခတ်မှု စွမ်းအား"
55,"Steel Structure","炭素当量","たんそとうりょう","Carbon Equivalent (CeQ)","ကာဗွန် ညီမျှချက်"
56,"Steel Structure","溶接割れ感受性組成","ようせつわれかんじゅせいそせい","Weld Cracking Susceptibility Composition (PCM)","ဂဟေကွဲအက်မှု ဖြစ်နိုင်ခြေ ဖွဲ့စည်းမှု"
